clienteid,evadio,genero,adulto mayor,tiene pareja,tiene dependientes,meses de contrato,servicio telefonico,multilineas,servicio internet,seguridad en linea,respaldo en linea,proteccion de dispositivos,soporte tecnico,television por streaming,suscripcion peliculas,tipo de contrato,factura online,metodo de pago,total del mes,total cliente,cuentas_diarias,cantidad_servicios,evadio_numeric
5774-XZTQC,No,Mujer,0,Si,Si,7,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,20.45,150.75,0.6816666666666666,1,0
5777-KJIRB,No,Mujer,0,No,No,40,Si,No,DSL,No,No,Si,No,No,No,Anual,Si,Cheque por correo,50.25,2023.55,1.675,2,0
5777-ZPQNC,No,Mujer,0,No,No,12,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque electronico,20.15,260.7,0.6716666666666666,1,0
5778-BVOFB,No,Mujer,0,No,No,9,Si,No,DSL,No,No,No,Si,Si,No,Mensual,Si,Transferencia bancaria (automatico),59.5,530.05,1.9833333333333334,3,0
5780-INQIK,No,Mujer,0,No,No,8,Si,No,DSL,No,No,No,Si,No,No,Mensual,No,Cheque electronico,49.4,408.25,1.6466666666666667,2,0
5781-BKHOP,No,Mujer,0,Si,No,72,Si,Si,Fibra optica,Si,Si,Si,No,Si,No,Dos años,No,Transferencia bancaria (automatico),100.65,7334.05,3.355,6,0
5781-RFZRP,No,Hombre,0,Si,No,71,Si,Si,DSL,Si,Si,No,Si,Si,No,Dos años,No,Tarjeta de credito (automatico),73.5,5357.75,2.45,6,0
5787-KXGIY,No,Hombre,0,Si,No,72,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito (automatico),19.3,1304.8,0.6433333333333333,1,0
5788-YPOEG,No,Mujer,0,Si,Si,34,Si,No,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Cheque por correo,84.75,2839.45,2.825,7,0
5789-LDFXO,No,Hombre,0,No,No,24,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque electronico,24.6,592.65,0.8200000000000001,2,0
5791-KAJFD,No,Mujer,0,Si,Si,56,Si,Si,DSL,Si,No,Si,No,No,Si,Anual,Si,Transferencia bancaria (automatico),68.75,3808.0,2.2916666666666665,5,0
5792-JALQC,No,Mujer,1,No,No,52,Si,Si,DSL,Si,No,Si,No,No,No,Dos años,No,Transferencia bancaria (automatico),59.85,3103.25,1.995,4,0
5793-YOLJN,No,Mujer,0,Si,Si,55,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,21.0,1210.3,0.7,1,0
5795-BKOYE,No,Mujer,0,Si,Si,69,Si,No,DSL,No,Si,Si,Si,No,No,Anual,No,Transferencia bancaria (automatico),59.1,4134.7,1.97,4,0
5795-KTGUD,No,Mujer,0,Si,No,68,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Dos años,Si,Transferencia bancaria (automatico),110.8,7553.6,3.6933333333333334,7,0
5797-APWZC,Si,Mujer,0,No,No,1,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,No,Cheque electronico,90.6,90.6,3.02,3,1
5799-JRCZO,No,Mujer,0,No,Si,63,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito (automatico),19.5,1215.1,0.65,1,0
5802-ADBRC,No,Mujer,0,Si,No,50,Si,Si,Fibra optica,Si,No,Si,No,Si,Si,Anual,Si,Cheque por correo,104.4,5232.9,3.48,6,0
5803-NQJZO,No,Hombre,0,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,No,No,Dos años,Si,Transferencia bancaria (automatico),67.8,4804.65,2.26,6,0
5804-HYIEZ,No,Hombre,0,Si,Si,70,Si,Si,Fibra optica,Si,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,106.05,7554.05,3.5349999999999997,6,0
5804-JMYIO,No,Mujer,0,Si,Si,39,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,19.75,757.95,0.6583333333333333,1,0
5804-LEPIM,Si,Mujer,1,No,No,2,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,70.35,139.05,2.3449999999999998,1,1
5808-TOTXO,No,Mujer,0,No,Si,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Tarjeta de credito (automatico),20.55,57.4,0.685,1,0
5811-IWXYM,No,Mujer,0,Si,Si,52,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Anual,No,Transferencia bancaria (automatico),101.25,5301.1,3.375,5,0
5813-UECBU,Si,Hombre,1,No,No,33,Si,Si,Fibra optica,No,Si,Si,No,No,No,Mensual,Si,Tarjeta de credito (automatico),83.85,2716.3,2.795,4,1
5815-HGGHV,No,Hombre,0,Si,No,20,Si,No,DSL,Si,No,No,Si,No,Si,Anual,Si,Cheque por correo,64.15,1274.45,2.1383333333333336,4,0
5816-JMLGY,No,Mujer,0,Si,Si,70,Si,No,DSL,No,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria (automatico),80.4,5717.85,2.68,6,0
5816-QVHRX,No,Mujer,0,No,No,37,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mensual,No,Tarjeta de credito (automatico),100.3,3541.4,3.3433333333333333,5,0
5816-SCGFC,No,Mujer,1,No,No,7,Si,No,DSL,No,Si,No,No,No,No,Mensual,Si,Cheque por correo,51.3,419.35,1.71,2,0
5820-PTRYM,No,Mujer,1,Si,No,56,Si,Si,DSL,Si,Si,Si,Si,No,No,Anual,Si,Tarjeta de credito (automatico),68.45,4014.0,2.2816666666666667,6,0
5821-MMEIL,No,Mujer,0,Si,No,57,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),19.9,1115.6,0.6633333333333333,1,0
5825-XJOCM,No,Hombre,0,No,Si,48,Si,Si,DSL,Si,Si,Si,No,No,No,Anual,Si,Transferencia bancaria (automatico),64.4,3035.35,2.146666666666667,5,0
5827-MWCZK,No,Hombre,0,Si,Si,56,Si,Si,Fibra optica,No,Si,No,Si,Si,No,Mensual,Si,Tarjeta de credito (automatico),96.95,5432.2,3.231666666666667,5,0
5828-AVIPD,Si,Hombre,0,Si,Si,19,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Anual,Si,Cheque electronico,100.95,1875.55,3.365,5,1
5828-DWPIL,No,Hombre,1,Si,No,62,Si,Si,Fibra optica,Si,Si,Si,No,No,No,Mensual,Si,Cheque electronico,89.1,5618.3,2.9699999999999998,5,0
5829-NVSQN,No,Mujer,0,Si,No,23,Si,No,DSL,Si,No,Si,Si,No,Si,Anual,Si,Transferencia bancaria (automatico),68.75,1689.45,2.2916666666666665,5,0
5832-EXGTT,No,Hombre,0,Si,Si,29,Si,No,DSL,Si,No,No,No,No,Si,Mensual,Si,Cheque por correo,60.2,1834.15,2.006666666666667,3,0
5832-TRLPB,No,Hombre,0,No,No,29,Si,No,DSL,No,No,Si,Si,Si,Si,Anual,Si,Transferencia bancaria (automatico),75.35,2243.9,2.5116666666666663,5,0
5832-XKAES,Si,Hombre,0,No,No,2,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito (automatico),69.8,134.7,2.3266666666666667,1,1
5834-ASPWA,Si,Hombre,0,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,75.45,75.45,2.515,2,1
5835-BEQEU,Si,Hombre,0,No,No,3,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,76.95,228.4,2.565,2,1
5837-LXSDN,No,Mujer,0,Si,Si,21,Si,No,DSL,No,Si,No,No,Si,No,Anual,Si,Tarjeta de credito (automatico),58.85,1215.45,1.9616666666666667,3,0
5839-SUYVZ,No,Hombre,0,No,No,16,Si,No,Fibra optica,No,No,No,Si,No,No,Mensual,Si,Tarjeta de credito (automatico),74.55,1170.5,2.485,2,0
5840-NVDCG,No,Mujer,0,Si,Si,16,Si,No,DSL,Si,Si,No,Si,No,Si,Dos años,No,Transferencia bancaria (automatico),68.25,1114.85,2.275,5,0
5842-POCOP,Si,Mujer,0,Si,No,5,Si,No,Fibra optica,Si,No,Si,No,No,Si,Mensual,Si,Cheque por correo,88.9,454.15,2.9633333333333334,4,1
5843-TTHGI,No,Mujer,0,No,No,18,Si,No,DSL,No,No,Si,No,No,No,Mensual,Si,Cheque por correo,50.0,892.7,1.6666666666666667,2,0
5844-QVTAT,No,Mujer,0,Si,Si,33,Si,No,DSL,Si,Si,Si,No,No,No,Anual,Si,Cheque por correo,58.45,1955.4,1.9483333333333335,4,0
5845-BZZIB,No,Hombre,0,Si,Si,35,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,20.1,655.3,0.67,1,0
5846-ABOBJ,No,Hombre,0,Si,No,71,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),24.45,1730.65,0.815,2,0
5846-NEQVZ,No,Hombre,0,Si,Si,71,Si,No,DSL,Si,No,Si,Si,No,Si,Dos años,Si,Tarjeta de credito (automatico),70.85,4973.4,2.3616666666666664,5,0
5846-QFDFI,No,Mujer,0,Si,Si,33,Si,Si,Fibra optica,No,Si,Si,Si,No,No,Mensual,No,Tarjeta de credito (automatico),88.6,2888.7,2.953333333333333,5,0
5847-MXBEO,No,Hombre,0,No,No,22,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque por correo,20.3,475.1,0.6766666666666666,1,0
5848-FHRFC,No,Mujer,0,No,No,68,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),20.05,1386.9,0.6683333333333333,1,0
5849-ASHZJ,No,Hombre,0,No,Si,27,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Tarjeta de credito (automatico),20.05,552.9,0.6683333333333333,1,0
5850-BDWCY,No,Mujer,0,No,No,6,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,20.2,123.65,0.6733333333333333,1,0
5854-KSRBJ,No,Hombre,0,Si,Si,70,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,25.4,1782.05,0.8466666666666666,2,0
5855-EIBDE,No,Mujer,0,Si,No,49,Si,Si,Fibra optica,Si,Si,Si,Si,No,Si,Dos años,No,Tarjeta de credito (automatico),106.65,5174.35,3.555,7,0
5857-TYBCJ,No,Hombre,1,Si,No,44,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mensual,Si,Cheque electronico,89.2,4040.2,2.9733333333333336,4,0
5857-XRECV,No,Mujer,0,No,Si,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automatico),20.5,38.25,0.6833333333333333,1,0
5858-EAFCZ,No,Hombre,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque por correo,44.45,44.45,1.4816666666666667,1,0
5859-HZYLF,No,Hombre,0,Si,Si,26,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Tarjeta de credito (automatico),19.15,515.75,0.6383333333333333,1,0
5862-BRIXZ,No,Hombre,0,No,No,46,No,Sin servicio telefonico,DSL,Si,No,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria (automatico),60.75,2893.4,2.025,5,0
5863-OOKCL,No,Mujer,0,No,No,10,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,18.85,163.2,0.6283333333333334,1,0
5868-CZJDR,Si,Hombre,0,No,Si,1,No,Sin servicio telefonico,DSL,No,Si,No,No,No,No,Mensual,Si,Cheque por correo,31.35,31.35,1.0450000000000002,1,1
5868-YTYKS,No,Hombre,0,No,Si,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque por correo,20.25,20.25,0.675,1,0
5868-YWPDW,Si,Hombre,1,Si,No,6,Si,No,Fibra optica,No,Si,No,No,No,Si,Mensual,Si,Cheque electronico,84.2,519.15,2.8066666666666666,3,1
5871-DGTXZ,No,Hombre,0,No,No,32,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque por correo,19.8,607.7,0.66,1,0
5872-OEQNH,No,Mujer,0,No,No,60,No,Sin servicio telefonico,DSL,Si,No,Si,No,No,Si,Anual,Si,Cheque electronico,44.45,2773.9,1.4816666666666667,3,0
5875-YPQFJ,Si,Hombre,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,69.9,69.9,2.33,1,1
5876-HZVZM,Si,Mujer,0,Si,Si,6,Si,No,DSL,Si,Si,No,No,No,No,Mensual,No,Tarjeta de credito (automatico),55.9,365.35,1.8633333333333333,3,1
5876-QMYLD,No,Mujer,0,Si,Si,23,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque por correo,20.05,415.1,0.6683333333333333,1,0
5879-HMFFH,No,Mujer,0,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria (automatico),88.05,6520.8,2.935,8,0
5879-SESNB,No,Mujer,0,No,No,11,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque electronico,75.25,888.65,2.5083333333333333,2,0
5882-CMAZQ,No,Mujer,0,Si,Si,5,No,Sin servicio telefonico,DSL,No,Si,No,Si,No,No,Mensual,No,Cheque electronico,34.25,163.55,1.1416666666666666,2,0
5883-GTGVD,Si,Hombre,0,No,No,19,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,99.95,1931.75,3.3316666666666666,5,1
5884-FBCTL,No,Mujer,0,Si,Si,72,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),25.1,1857.85,0.8366666666666667,2,0
5884-GCYMI,Si,Hombre,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque por correo,69.4,69.4,2.3133333333333335,1,1
5886-VLQVU,No,Hombre,0,Si,No,35,Si,Si,Fibra optica,No,No,No,Si,No,Si,Mensual,Si,Transferencia bancaria (automatico),89.85,3161.2,2.9949999999999997,4,0
5887-IKKYO,No,Hombre,0,Si,Si,58,Si,Si,Fibra optica,No,No,Si,Si,No,Si,Dos años,No,Transferencia bancaria (automatico),94.35,5563.65,3.145,5,0
5889-JTMUL,Si,Mujer,1,Si,No,50,Si,Si,Fibra optica,No,Si,Si,No,Si,No,Mensual,Si,Cheque electronico,95.05,4888.7,3.1683333333333334,5,1
5889-LFOLL,Si,Mujer,0,No,No,13,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque electronico,84.6,1115.2,2.82,3,1
5893-KCLGT,No,Mujer,0,No,Si,72,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Cheque por correo,19.75,1567.0,0.6583333333333333,1,0
5893-PYOLZ,No,Hombre,0,No,No,56,Si,No,DSL,No,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de credito (automatico),81.8,4534.45,2.7266666666666666,6,0
5895-QSXOD,No,Hombre,0,No,No,9,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque por correo,70.05,657.5,2.335,1,0
5896-NPFWW,Si,Hombre,0,Si,Si,3,Si,No,DSL,No,No,Si,No,No,No,Mensual,Si,Cheque electronico,50.15,168.15,1.6716666666666666,2,1
5897-ZYEKH,No,Mujer,1,Si,No,67,Si,Si,Fibra optica,Si,Si,No,No,Si,Si,Anual,Si,Cheque electronico,105.6,7112.15,3.52,6,0
5898-IGSLP,No,Hombre,0,Si,Si,31,Si,Si,Fibra optica,Si,No,Si,Si,No,No,Mensual,No,Cheque electronico,89.3,2823.0,2.9766666666666666,5,0
5899-MQZZL,Si,Mujer,0,No,No,13,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque por correo,75.0,999.45,2.5,2,1
5899-OUVKV,No,Hombre,0,No,No,31,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,94.5,2979.2,3.15,4,0
5902-WBLSE,No,Mujer,0,Si,Si,70,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Tarjeta de credito (automatico),20.15,1411.2,0.6716666666666666,1,0
5906-BFOZT,No,Hombre,0,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque por correo,19.5,19.5,0.65,1,0
5906-CVLHP,Si,Mujer,0,Si,Si,45,Si,No,DSL,No,Si,No,Si,No,No,Anual,Si,Tarjeta de credito (automatico),54.15,2319.8,1.805,3,1
5906-DVAPM,No,Mujer,0,Si,Si,55,Si,Si,DSL,Si,Si,No,Si,Si,No,Anual,Si,Tarjeta de credito (automatico),75.0,4213.9,2.5,6,0
5908-QMGOE,Si,Hombre,1,No,No,15,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito (automatico),74.2,1133.9,2.4733333333333336,2,1
5909-ECHUI,Si,Mujer,0,No,No,1,Si,No,DSL,No,No,No,No,No,Si,Mensual,Si,Cheque electronico,56.25,56.25,1.875,2,1
5913-INRQV,No,Hombre,1,Si,No,34,Si,No,Fibra optica,Si,No,No,Si,Si,No,Anual,No,Cheque por correo,90.15,3128.8,3.0050000000000003,4,0
5914-DVBWJ,Si,Mujer,1,No,No,18,Si,Si,Fibra optica,No,Si,No,Si,No,No,Mensual,Si,Cheque electronico,85.45,1505.85,2.8483333333333336,4,1
5914-GXMDA,No,Mujer,0,Si,No,32,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque por correo,19.3,593.2,0.6433333333333333,1,0
5914-XRFQB,No,Hombre,0,Si,No,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria (automatico),115.8,8424.9,3.86,8,0
5915-ANOEI,No,Hombre,0,Si,No,70,Si,Si,DSL,Si,Si,Si,Si,Si,No,Dos años,No,Cheque por correo,79.15,5536.5,2.6383333333333336,7,0
5915-DGNVC,No,Mujer,0,Si,No,49,Si,Si,DSL,Si,Si,Si,No,No,Si,Anual,No,Cheque electronico,71.8,3472.05,2.393333333333333,6,0
5916-QEWPT,No,Mujer,0,Si,No,2,Si,No,DSL,No,No,Si,No,Si,Si,Mensual,No,Tarjeta de credito (automatico),69.0,147.8,2.3,4,0
5917-HBSDW,No,Mujer,0,Si,Si,37,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque electronico,19.35,683.75,0.645,1,0
5917-RYRMG,No,Hombre,1,No,No,32,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Tarjeta de credito (automatico),19.8,587.7,0.66,1,0
5918-VUKWP,No,Mujer,0,No,No,32,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automatico),20.55,654.55,0.685,1,0
5919-TMRGD,Si,Mujer,0,No,Si,1,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque electronico,79.35,79.35,2.645,2,1
5919-VCZYM,No,Hombre,0,No,No,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,20.05,42.7,0.6683333333333333,1,0
5921-NGYRH,No,Hombre,0,Si,No,64,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,Si,Cheque por correo,73.55,4764.0,2.4516666666666667,2,0
5922-ABDVO,Si,Mujer,0,Si,No,19,Si,Si,Fibra optica,No,No,Si,No,No,Si,Mensual,No,Cheque por correo,89.65,1761.05,2.9883333333333337,4,1
5923-GXUOC,Si,Hombre,0,No,No,10,Si,No,Fibra optica,Si,Si,Si,No,Si,Si,Mensual,Si,Cheque electronico,104.4,1081.45,3.48,6,1
5924-IFQTT,No,Hombre,0,Si,Si,13,Si,Si,DSL,No,Si,Si,Si,Si,No,Mensual,Si,Cheque electronico,72.8,930.05,2.4266666666666667,6,0
5924-SNGKP,No,Mujer,0,No,Si,41,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Tarjeta de credito (automatico),20.25,865.0,0.675,1,0
5928-QLDHB,No,Hombre,0,No,No,9,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,76.25,684.85,2.5416666666666665,2,0
5930-GBIWP,No,Hombre,0,No,No,69,Si,Si,DSL,Si,Si,Si,Si,No,Si,Dos años,Si,Tarjeta de credito (automatico),81.5,5553.25,2.716666666666667,7,0
5931-FLJJF,Si,Hombre,1,Si,No,7,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque por correo,70.1,467.55,2.3366666666666664,1,1
5934-RMPOV,No,Mujer,0,No,Si,22,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque electronico,84.75,1816.75,2.825,3,0
5934-TSSAU,No,Mujer,0,Si,Si,23,Si,No,Fibra optica,No,No,Si,No,No,No,Mensual,Si,Tarjeta de credito (automatico),75.3,1702.9,2.51,2,0
5935-FCCNB,No,Mujer,1,No,No,17,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque electronico,94.2,1608.15,3.14,4,0
5937-EORGB,No,Hombre,1,Si,No,15,Si,Si,Fibra optica,Si,No,Si,No,Si,No,Mensual,Si,Cheque electronico,96.5,1392.25,3.216666666666667,5,0
5939-SXWHM,No,Hombre,0,Si,Si,48,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),26.3,1245.05,0.8766666666666667,2,0
5939-XAIXZ,No,Mujer,0,No,No,19,Si,Si,DSL,No,No,Si,No,No,No,Mensual,Si,Cheque por correo,56.1,1033.9,1.87,3,0
5940-AHUHD,Si,Hombre,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque por correo,70.6,70.6,2.353333333333333,1,1
5940-NFXKV,Si,Hombre,0,Si,Si,19,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque electronico,83.65,1465.75,2.7883333333333336,3,1
5944-UGLLK,No,Hombre,0,No,No,53,No,Sin servicio telefonico,DSL,No,No,Si,Si,Si,Si,Anual,No,Tarjeta de credito (automatico),54.9,3045.75,1.8299999999999998,4,0
5945-AZYHT,No,Hombre,0,Si,No,71,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Anual,Si,Cheque electronico,109.6,7854.15,3.6533333333333333,7,0
5947-SGKCL,No,Mujer,0,Si,Si,15,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Transferencia bancaria (automatico),105.35,1559.25,3.5116666666666663,6,0
5948-UJZLF,No,Hombre,0,No,No,2,Si,No,DSL,No,Si,No,No,No,No,Mensual,No,Cheque por correo,49.25,97.0,1.6416666666666666,2,0
5949-EBSQK,Si,Hombre,0,Si,Si,4,Si,No,DSL,No,No,No,Si,No,Si,Mensual,No,Tarjeta de credito (automatico),61.45,229.55,2.0483333333333333,3,1
5949-HGVJL,No,Mujer,0,Si,No,26,Si,No,DSL,No,Si,No,Si,Si,Si,Mensual,Si,Cheque electronico,73.05,1959.5,2.435,5,0
5949-XIKAE,Si,Mujer,0,Si,Si,8,Si,No,Fibra optica,No,Si,No,No,Si,No,Mensual,Si,Cheque electronico,83.55,680.05,2.7849999999999997,3,1
5950-AAAGJ,No,Hombre,0,No,No,18,Si,Si,Fibra optica,No,No,No,No,Si,No,Mensual,No,Transferencia bancaria (automatico),84.3,1537.9,2.81,3,0
5951-AOFIH,No,Hombre,0,No,No,33,Si,No,DSL,No,Si,Si,No,Si,No,Mensual,Si,Tarjeta de credito (automatico),66.4,2245.4,2.2133333333333334,4,0
5954-BDFSG,No,Mujer,0,No,No,72,Si,Si,Fibra optica,No,No,Si,Si,Si,Si,Dos años,Si,Tarjeta de credito (automatico),107.5,7853.7,3.5833333333333335,6,0
5955-EPOAZ,No,Mujer,0,No,No,6,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque por correo,20.95,109.5,0.6983333333333334,1,0
5955-ERIHD,Si,Hombre,0,Si,No,18,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque electronico,94.7,1687.95,3.1566666666666667,4,1
5956-VKDTT,Si,Mujer,1,Si,No,5,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,74.35,334.8,2.478333333333333,2,1
5956-YHHRX,No,Hombre,1,No,No,21,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electronico,104.35,2271.85,3.478333333333333,6,0
5959-BELXA,Si,Hombre,1,No,No,32,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Tarjeta de credito (automatico),96.15,3019.25,3.205,4,1
5960-MVTUK,No,Hombre,0,No,No,3,No,Sin servicio telefonico,DSL,No,No,No,Si,No,No,Mensual,Si,Cheque electronico,29.75,96.85,0.9916666666666667,1,0
5960-WPXQM,Si,Hombre,0,No,No,1,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque electronico,79.05,79.05,2.635,2,1
